DAY,AMOUNT
2030,512
2031,587
2032,488
2033,842
2034,98
2035,261
2036,149
2037,112
2038,133
2039,415
2040,963
2041,171
2042,330
2043,326
2044,517
2045,345
2046,14
2047,122
2048,7
2049,10
2050,1137
2051,45
2052,12
2053,25
2054,216700
2055,111
2056,39
2057,0
2058,0
2059,30
2060,0
2061,0
2062,0
2063,1443
2064,0
2065,15
2066,0
2067,0
2068,6301
2069,2
2070,0
2071,4
2072,0
2073,0
2074,0
2075,0
2076,0
2077,2
2078,0
2079,0
2080,0
2081,0
2082,0
2083,8
2084,0
2085,25
2086,25
2087,73
2088,0
2089,0
2090,0
2091,24
2092,0
2093,2
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,21
2104,0
2105,9
2106,0
2107,7
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,93
2115,83
2116,3
2117,13
2118,0
2119,0
2120,0
2121,0
2122,0
2123,373
2124,0
2125,0
2126,0
2127,0
2128,0
2129,3
2130,0
2131,0
2132,0
2133,0
2134,20
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,4
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,2148
2160,26
2161,11
2162,0
2163,0
2164,185
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,36
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,331
2190,1012
2191,89
2192,463
2193,56
2194,140
2195,234
2196,89
2197,35
2198,10
2199,0
2200,190
2201,156
2202,324
2203,0
2204,1091
2205,0
2206,0
2207,0
2208,311
2209,0
2210,0
2211,54
2212,16
2213,56
2214,30
2215,1034
2216,7
2217,0
2218,2996
2219,1492
2220,0
2221,585
2222,0
2223,316
2224,228
2225,935
2226,2082
2227,383
2228,183
2229,2
2230,248
2231,176
2232,11
2233,0
2234,0
2235,72
2236,565
2237,23490
2238,0
2239,0
2240,0
2241,0
2242,2
2243,47
2244,0
2245,1941
2246,0
2247,159
2248,0
2249,0
2250,8
2251,4
2252,0
2253,153
2254,0
2255,1278
2256,0
2257,68
2258,0
2259,1007
2260,32
2261,79
2262,348
2263,93
2264,4
2265,14
2266,744
2267,33
2268,0
2269,686
2270,786
2271,367
2272,117
2273,24
2274,679
2275,2
2276,308
2277,201
2278,1631
2279,4406
2280,130
2281,76
2282,0
2283,319
2284,312
2285,155
2286,416
2287,4211
2288,263
2289,2
2290,11
2291,557
2292,361
2293,4318
2294,235
2295,203
2296,527
2297,319
2298,0
2299,846
2300,545
2301,33
2302,135
2303,0
2304,155
2305,88
2306,4133
2307,108046
2308,75
2309,0
2310,0
2311,7
2312,4505
2313,4
2314,28
2315,8
2316,389
2317,11
2318,432
2319,12693
2320,8449
2321,0
2322,4617
